prompt,human_VQ,human_MQ,human_TA,human_notes
"In a still frame, a weathered stop sign stands prominently at a quiet intersection, its red paint slightly faded and edges rusted, evoking a sense of time passed. The sign is set against a backdrop of a serene suburban street, lined with tall, leafy trees whose branches gently sway in the breeze. The sky above is a soft gradient of twilight hues, transitioning from deep blue to a warm orange, suggesting the end of a peaceful day. The surrounding area is calm, with neatly trimmed lawns and quaint houses, their windows glowing softly with indoor lights, adding to the tranquil atmosphere.",,0,,
"A pristine, vintage porcelain toilet stands alone in a dimly lit, abandoned bathroom, its surface glistening with a thin layer of frost. The room is eerily silent, with cobwebs hanging from the corners and dust particles suspended in the still air. The toilet's intricate floral design, now partially obscured by ice crystals, hints at a bygone era. Water droplets, frozen mid-drip, hang from the faucet, capturing a moment forever paused. The cracked tiles on the floor and the peeling wallpaper add to the sense of timelessness, as if the entire scene has been untouched for decades, frozen in a silent, forgotten moment.",,0,,
"A sleek, modern laptop, its screen displaying a vibrant, paused scene, sits on a minimalist wooden desk. The room is bathed in soft, natural light filtering through sheer curtains, casting gentle shadows. The laptop's keyboard is mid-illumination, with a faint glow emanating from the keys, suggesting a moment frozen in time. Dust particles are suspended in the air, caught in the light, adding to the stillness. A steaming cup of coffee beside the laptop remains untouched, with wisps of steam frozen in mid-air. The scene captures a serene, almost magical pause in an otherwise bustling workspace.",,3,,
"A narrow, cobblestone alleyway bathed in the soft glow of twilight, flanked by quaint, ivy-covered brick buildings with rustic wooden shutters. The scene is serene, with a gentle breeze rustling the leaves of potted plants and hanging flower baskets adorning the windowsills. Warm, golden light spills from vintage lanterns, casting intricate shadows on the cobblestones. A solitary cat, sleek and graceful, meanders down the alley, pausing occasionally to sniff the air. The distant sound of a violin playing a melancholic tune adds to the tranquil ambiance, creating a timeless, peaceful moment in this hidden urban gem.",,1,,
"A cozy, dimly lit bar exudes warmth with its rustic wooden furniture and soft amber lighting. The bartender, a middle-aged man with a neatly trimmed beard, polishes glasses behind the counter, which is adorned with an array of colorful bottles and vintage memorabilia. Patrons sit at the bar, engaged in quiet conversation, their faces illuminated by the gentle glow of hanging lanterns. In the background, a jazz trio plays soothing melodies, adding to the serene ambiance. The camera pans to a corner table where a couple shares a quiet moment, their hands intertwined, as the soft hum of chatter and clinking glasses fills the air.",,1,,
"A picturesque barn stands serenely amidst a vast, golden wheat field, bathed in the soft glow of the setting sun. The barn's rustic red paint and weathered wooden beams contrast beautifully with the surrounding landscape. Nearby, a windmill slowly turns, its blades catching the gentle breeze. In the foreground, wildflowers sway gently, adding splashes of color to the scene. Birds can be seen flying overhead, their silhouettes against the twilight sky. The entire tableau exudes a sense of peace and timelessness, capturing the quiet beauty of rural life.",,1,,
"A serene bathroom scene unfolds, bathed in soft, natural light streaming through a frosted window. The centerpiece is a vintage clawfoot bathtub, filled with steaming water and surrounded by flickering candles, casting a warm, inviting glow. Nearby, a wooden stool holds a neatly folded, plush white towel and a small vase of fresh lavender, adding a touch of nature and tranquility. The walls are adorned with light, pastel tiles, and a large, ornate mirror reflects the peaceful ambiance. A gentle breeze rustles the sheer curtains, and the subtle scent of eucalyptus fills the air, completing this tranquil tableau.",,3,,
"A serene bedroom bathed in soft morning light, featuring a large window with sheer white curtains gently swaying in the breeze. The centerpiece is a plush, king-sized bed adorned with crisp white linens and a cozy, knitted throw blanket in a muted pastel hue. Beside the bed, a rustic wooden nightstand holds a vintage lamp casting a warm, inviting glow. A potted plant adds a touch of greenery, while a framed painting of a peaceful landscape hangs above the headboard. The room exudes calm with its neutral color palette, soft textures, and minimalist decor, creating a perfect sanctuary for rest and relaxation.",,0,,
"A breathtaking cliffside scene unfolds at dawn, with the first light of the sun casting a golden hue over the rugged, weathered rocks. The cliff, adorned with patches of vibrant green moss and small, resilient wildflowers, stands majestically against the backdrop of a calm, azure sea. Gentle waves lap at the base of the cliff, creating a soothing, rhythmic sound. Seagulls glide gracefully overhead, their calls echoing softly in the crisp morning air. The sky, painted in soft pastels of pink and orange, gradually brightens, illuminating the serene landscape and highlighting the intricate textures of the cliff face.",,5,,
"In a serene, sunlit courtyard, ivy-covered stone walls frame the scene, casting dappled shadows on the cobblestone ground. A rustic wooden bench sits beneath a blooming cherry blossom tree, its petals gently falling like pink snowflakes. Nearby, a vintage wrought-iron table with two matching chairs holds a delicate porcelain teapot and cups, suggesting a moment of tranquil tea time. The soft hum of bees and distant chirping of birds add to the peaceful ambiance, while a gentle breeze rustles the leaves, creating a timeless, idyllic atmosphere.",,5,,
